id,host_listings_count,latitude,longitude,accommodates,bedrooms,minimum_nights,availability_30,number_of_reviews,review_scores_value,room_type,host_is_superhost,Houseboat,Room in boutique hotel,Room in hotel,Tower,price
98,0,52.39366,4.91619,4,2.0,2,0,5,4.8,4,0,0,0,0,0,149.0
99,1,52.38082,4.89447,2,1.0,3,21,0,4.643794288736118,2,0,0,0,0,0,101.0
100,1,52.3418,4.91066,3,1.0,5,14,523,4.64,2,0,0,0,0,0,89.0
101,1,52.36351,4.86178,2,1.0,3,0,15,4.75,4,0,0,0,0,0,110.0
102,1,52.34788,4.8506,4,4.0,2,4,14,4.64,4,0,0,0,0,0,295.0
103,3,52.36318,4.88425,2,1.0,1,28,275,4.67,2,0,0,0,0,0,41.0
104,2,52.37525,4.84994,2,1.0,4,0,4,5.0,4,0,0,0,0,0,45.0
105,2,52.36045,4.89855,2,1.0,2,23,13,4.62,2,0,0,0,0,0,91.0
106,1,52.34546,4.79649,1,1.0,30,1,16,4.73,2,1,0,0,0,0,45.0
107,0,52.36755,4.91315,4,3.0,3,4,3,5.0,4,1,0,0,0,0,250.0
108,0,52.3807,4.87039,4,1.0,2,0,6,4.67,4,0,0,0,0,0,75.0
109,0,52.354771,4.851624,2,1.0,4,14,0,4.643794288736118,4,0,0,0,0,0,180.0
110,1,52.353,4.92922,4,2.0,2,19,106,4.65,2,1,0,0,0,0,100.0
111,5,52.38541,4.95508,4,2.0,2,30,0,4.643794288736118,2,0,0,0,0,0,177.0
112,3,52.33054,4.89016,2,1.0,4,14,9,4.88,4,0,0,0,0,0,162.0
113,0,52.380547,4.877465,4,2.0,3,0,1,5.0,4,0,0,0,0,0,250.0
114,1,52.3695,4.83711,3,1.0,2,18,108,4.64,2,0,0,0,0,0,100.0
115,0,52.36893,4.86091,6,2.0,2,0,13,4.85,2,0,0,1,0,0,130.0
116,0,52.35356,4.93903,4,3.0,3,0,0,4.643794288736118,4,0,0,0,0,0,195.0
117,2,52.34811,4.90791,2,1.0,1,29,0,4.643794288736118,2,0,0,0,0,0,150.0
118,2,52.37704,4.84606,1,1.0,3,0,38,4.61,2,1,0,0,0,0,74.0
119,2,52.34805,4.87523,4,2.0,30,10,25,4.09,4,0,0,0,0,0,300.0
120,0,52.37026,4.89931,2,1.0,3,0,414,4.53,2,1,0,0,0,0,118.0
121,1,52.38132,4.80623,4,2.0,1,0,50,4.5,2,0,0,0,0,0,29.0
122,0,52.3574,4.90295,4,2.0,1,18,7,4.43,4,0,0,0,0,0,300.0
123,2,52.38134,4.91465,3,1.0,7,0,0,4.643794288736118,4,0,0,0,0,0,120.0
124,1,52.37213,4.8495,2,1.0,3,0,17,4.76,4,0,0,0,0,0,110.0
125,1,52.34375,4.85807,2,1.0,3,0,52,4.75,4,1,0,0,0,0,100.0
126,1,52.3615,4.9003,2,1.0,2,27,40,4.75,2,1,0,0,0,0,139.0
127,1,52.36422,4.91233,2,1.0,5,0,16,4.64,4,0,0,0,0,0,175.0
128,1,52.37579,4.89751,4,1.0,1,21,73,4.04,2,1,0,0,0,0,75.0
129,0,52.37278,4.86412,2,1.0,26,0,1,5.0,4,0,0,0,0,0,98.0
130,2,52.36643,4.87467,3,1.0,7,4,37,4.81,4,1,0,0,0,0,177.0
131,0,52.36862,4.86144,3,1.0,2,0,18,4.72,2,0,0,0,1,0,80.0
132,2,52.37478,4.89985,2,1.0,2,7,166,4.85,2,1,0,0,0,0,110.0
133,1,52.36919,4.86663,4,2.0,2,0,38,4.63,4,0,0,0,0,0,220.0
134,1,52.41456,4.88751,2,1.0,2,0,12,4.64,4,0,0,0,0,0,125.0
135,0,52.35325,4.93536,4,3.0,2,2,2,5.0,4,0,0,0,0,0,199.0
136,2,52.3906,4.90755,4,2.0,5,4,10,4.5,4,0,0,0,0,0,160.0
137,1,52.39443,4.94763,2,1.0,2,9,49,4.38,2,0,0,0,0,0,55.0
138,2,52.36709,4.86575,2,1.0,1,9,392,4.78,2,1,0,0,0,0,87.0
139,1,52.34959,4.89188,2,1.0,3,0,13,4.92,4,0,0,0,0,0,150.0
140,3,52.36131,4.8519,1,1.0,2,0,40,4.63,2,0,0,0,0,0,60.0
141,1,52.37113,4.8581,2,1.0,2,28,27,4.7,4,0,0,0,0,0,181.0
142,1,52.35224,4.91568,3,2.0,4,0,14,4.86,4,1,0,0,0,0,149.0
143,1,52.35248,4.82902,4,2.0,2,0,3,5.0,4,0,0,0,0,0,160.0
144,3,52.36337,4.85637,2,1.0,2,24,70,4.25,2,0,0,0,0,0,78.0
145,2,52.35737,4.98163,4,3.0,3,0,12,4.67,4,0,0,0,0,0,280.0
146,2,52.39362,4.91033,6,2.0,2,29,12,4.36,4,0,0,0,0,0,453.0
147,1,52.3616,4.86119,4,2.0,1,0,2,3.0,4,0,0,0,0,0,325.0
148,0,52.36147,4.85086,2,1.0,2,0,12,4.73,4,0,0,0,0,0,140.0
149,5,52.35587,4.88186,2,1.0,1,11,9,4.67,4,0,0,0,0,0,138.0
150,2,52.37535,4.83676,2,1.0,3,0,13,4.54,4,0,0,0,0,0,95.0
151,0,52.36524,4.86642,2,1.0,3,2,4,4.75,4,0,0,0,0,0,150.0
152,13,52.40635,4.99133,4,2.0,2,0,23,4.76,2,0,0,0,0,0,79.0
153,1,52.3641,4.83262,4,3.0,3,0,21,4.55,4,0,0,0,0,0,108.0
154,0,52.3515,4.89656,4,3.0,6,2,22,4.62,4,1,0,0,0,0,200.0
155,7,52.37655,4.89249,4,1.0,1,21,119,4.39,2,0,0,0,0,0,96.0
156,1,52.33837,4.8464,6,4.0,2,0,23,4.77,4,0,1,0,0,0,400.0
157,9,52.37799,4.88549,4,2.0,2,12,6,4.0,4,0,1,0,0,0,205.0
158,1,52.36986,4.92258,2,2.0,2,0,25,4.52,4,0,0,0,0,0,120.0
159,0,52.41273,4.90667,4,3.0,2,0,5,4.8,4,0,0,0,0,0,120.0
160,1,52.34008,4.85133,4,3.0,7,0,5,4.4,4,0,0,0,0,0,300.0
161,1,52.34127,4.91508,3,1.0,2,0,45,4.69,2,0,0,0,0,0,129.0
162,1,52.35009,4.88875,2,1.0,28,0,54,4.91,4,1,0,0,0,0,175.0
163,2,52.34117,4.9084,4,2.0,2,0,5,4.6,4,0,0,0,0,0,125.0
164,0,52.34911,4.91461,4,2.0,7,8,15,4.8,4,1,0,0,0,0,187.0
165,1,52.3596,4.92656,4,1.0,2,15,26,4.13,4,0,0,0,0,0,159.0
166,7,52.41943,4.87126,7,3.0,1,0,60,4.64,4,1,0,0,0,0,146.0
167,1,52.36861,4.8553,4,2.0,3,13,12,4.58,4,0,0,0,0,0,275.0
168,1,52.35367,4.87141,5,3.0,5,0,16,4.75,4,0,0,0,0,0,350.0
169,1,52.37661,4.87314,2,1.0,2,2,3,5.0,4,0,0,0,0,0,129.0
170,1,52.3709,4.85301,2,1.0,3,1,76,4.71,4,0,0,0,0,0,130.0
171,1,52.349827,4.91346,2,1.0,3,0,48,4.85,4,0,0,0,0,0,149.0
172,1,52.36004,4.85431,3,1.0,1,0,2,5.0,4,0,0,0,0,0,95.0
173,2,52.37579,4.83748,2,1.0,2,0,14,4.64,2,1,0,0,0,0,98.0
174,3,52.37496,4.87835,4,2.0,3,14,25,4.16,4,0,0,0,0,0,600.0
175,3,52.37579,4.93414,2,1.0,2,0,35,4.52,2,0,0,0,0,0,96.0
176,1,52.37141,4.90353,4,2.0,3,0,56,4.15,4,0,0,0,0,0,135.0
177,4,52.3775,4.88771,2,1.0,7,0,14,4.93,4,1,0,0,0,0,250.0
178,1,52.36779,4.87177,4,2.0,2,2,82,4.54,4,0,0,0,0,0,200.0
179,22,52.36526,4.87967,2,1.0,1,0,25,4.36,4,0,0,0,0,0,50.0
180,1,52.34812,4.84891,2,1.0,2,0,45,4.64,4,0,0,0,0,0,99.0
181,16,52.37426,4.89926,2,1.0,1,25,27,4.48,2,1,0,1,0,0,153.0
182,2,52.36412,4.98524,3,1.0,1,23,18,4.67,2,0,0,0,0,0,107.0
183,1,52.37314,4.85994,4,2.0,4,0,13,4.62,4,0,0,0,0,0,115.0
184,3,52.36944,4.88104,2,1.0,1,0,3,5.0,2,0,0,0,0,0,500.0
185,1,52.37531,4.88068,2,1.0,3,22,32,4.94,2,1,0,0,0,0,135.0
186,1,52.37252,4.85834,4,3.0,3,5,29,4.66,4,1,0,0,0,0,225.0
187,1,52.35149,4.92265,4,3.0,3,5,43,4.73,4,0,0,0,0,0,140.0
188,1,52.36755,4.86967,4,4.0,3,0,13,4.85,4,0,0,0,0,0,245.0
189,1,52.34723,4.86015,3,2.0,3,0,25,4.71,4,0,0,0,0,0,135.0
190,9,52.36964,4.88004,4,1.0,1,0,6,3.83,3,0,0,0,1,0,0.0
191,1,52.36108,4.90585,2,1.0,1,12,62,4.65,4,0,0,0,0,0,328.0
192,1,52.36997,4.867,2,1.0,2,0,24,4.67,4,1,0,0,0,0,150.0
193,6,52.37841,4.88983,2,1.0,1,7,16,4.31,2,0,0,0,0,0,111.0
194,0,52.36302,4.90532,4,2.0,5,0,10,4.7,4,0,0,0,0,0,225.0
195,3,52.36553,4.88664,2,1.0,1,0,2,4.0,2,0,0,0,0,0,546.0
196,1,52.34389,4.86687,4,2.0,4,19,31,4.77,4,0,0,0,0,0,246.0
197,1,52.37558,4.92384,16,1.0,2,0,0,4.643794288736118,1,0,0,0,0,0,500.0
198,2,52.36204,4.92375,2,1.0,5,5,92,4.69,2,1,0,0,0,0,55.0
199,1,52.3607,4.85991,4,4.0,4,2,46,4.66,4,0,0,0,0,0,150.0
200,0,52.3881,4.91438,2,1.0,1,0,0,4.643794288736118,2,0,0,1,0,0,73.0
201,1,52.35297,4.86058,4,2.0,2,1,17,4.4,4,0,0,0,0,0,230.0
202,1,52.37799,4.88663,2,1.0,2,0,2,4.0,4,0,1,0,0,0,250.0
203,1,52.3671,4.83925,2,1.0,1,10,6,4.67,2,0,0,0,0,0,99.0
204,1,52.39238,4.92899,4,3.0,3,7,38,4.59,4,0,0,0,0,0,299.0
205,0,52.37532,4.87341,2,1.0,4,28,5,4.8,4,0,0,0,0,0,220.0
206,32,52.35669,4.89979,4,2.0,5,19,11,3.73,4,0,0,0,0,0,140.0
207,1,52.35222,4.86182,6,3.0,3,1,44,4.7,4,0,0,0,0,0,345.0
208,0,52.33696,4.93201,12,4.0,2,15,2,5.0,4,0,0,0,0,0,432.0
209,1,52.40325,4.91954,4,3.0,3,0,27,4.72,4,0,0,0,0,0,150.0
210,0,52.35444,4.89672,4,2.0,7,14,5,4.2,4,0,0,0,0,0,225.0
211,1,52.34061,4.90369,3,1.0,2,0,32,4.65,4,0,0,0,0,0,150.0
212,21,52.36568,4.85883,2,1.0,1,23,58,4.45,2,0,0,0,0,0,63.0
213,1,52.37437,4.84651,4,2.0,30,9,15,4.71,4,0,0,0,0,0,190.0
214,1,52.37046,4.91136,2,1.0,5,1,147,4.74,4,1,0,0,0,0,147.0
215,3,52.36431,4.89932,1,1.0,2,9,150,4.81,2,1,0,1,0,0,41.0
216,3,52.42379,4.88851,3,1.0,3,12,330,4.49,2,1,0,0,0,0,74.0
217,2,52.40033,4.91447,4,2.0,6,0,13,4.54,4,0,0,0,0,0,123.0
218,0,52.40365,4.91532,5,3.0,2,6,1,5.0,4,0,0,0,0,0,229.0
219,7,52.36217,4.89395,2,1.0,2,8,11,4.91,4,1,0,0,0,0,150.0
220,1,52.38211,4.85255,2,1.0,2,0,8,5.0,4,1,0,0,0,0,115.0
221,1,52.3624,4.8935,4,3.0,3,2,36,4.57,4,0,0,0,0,0,185.0
222,1,52.37599,4.94638,5,1.0,2,0,76,4.77,4,1,0,0,0,0,175.0
223,1,52.35206,4.85149,4,1.0,2,0,60,4.45,4,0,0,0,0,0,130.0
224,2,52.37189,4.87735,2,1.0,3,9,100,4.65,2,1,0,0,0,0,95.0
225,0,52.37778,4.84349,4,1.0,2,0,1,5.0,4,0,0,0,0,0,144.0
226,1,52.38611,4.89157,2,1.0,2,15,171,4.73,2,1,0,0,0,0,115.0
227,0,52.37888,4.89217,2,1.0,1,0,3,5.0,3,1,0,1,0,0,181.0
228,1,52.34638,5.00685,2,1.0,2,12,15,4.64,2,0,0,0,0,0,80.0
229,1,52.35293,5.00111,3,2.0,7,0,19,4.72,4,1,0,0,0,0,134.0
230,0,52.39366,4.88145,3,2.0,3,0,4,5.0,4,0,0,0,0,0,329.0
231,13,52.41016,4.96369,2,1.0,1,27,377,4.79,2,0,0,0,0,0,87.0
232,1,52.36865,4.87174,4,2.0,4,0,6,5.0,4,0,0,0,0,0,250.0
233,1,52.3625,4.92492,2,1.0,3,0,20,4.7,4,0,0,0,0,0,120.0
234,1,52.35373,4.85667,4,2.0,4,4,2,4.5,4,0,0,0,0,0,175.0
235,1,52.37,4.95127,4,3.0,5,0,7,5.0,4,0,0,0,0,0,145.0
236,0,52.39559,4.91541,4,3.0,10,0,0,4.643794288736118,4,0,0,0,0,0,129.0
237,1,52.3738,4.89083,2,1.0,2,1,17,4.5,4,0,0,0,0,0,101.0
238,1,52.34705,4.79025,4,4.0,5,20,23,4.48,4,0,0,0,0,0,156.0
239,0,52.35897,4.8602,2,1.0,3,0,13,4.67,4,0,0,0,0,0,171.0
240,2,52.35482,4.87438,3,2.0,3,26,131,4.8,2,1,0,0,0,0,131.0
241,2,52.36384,4.90131,2,1.0,3,0,79,4.75,2,0,0,0,0,0,75.0
242,1,52.38364,4.87767,3,1.0,2,7,58,4.53,4,0,0,0,0,0,147.0
243,1,52.36238,4.85517,4,2.0,7,18,51,4.43,4,0,0,0,0,0,152.0
244,1,52.36948,4.86822,4,2.0,3,4,37,4.68,4,0,0,0,0,0,180.0
245,4,52.35906,4.87881,2,1.0,2,30,40,4.55,2,0,0,1,0,0,74.0
246,2,52.37598,4.8931,3,1.0,2,5,260,4.88,2,1,0,0,0,0,158.0
247,1,52.37153,4.88022,4,1.0,3,0,21,4.48,4,0,0,0,0,0,160.0
248,1,52.39139,4.9548,4,4.0,3,0,8,4.88,4,0,0,0,0,0,140.0
249,1,52.36369,4.93272,3,1.0,2,0,20,4.4,4,0,0,0,0,0,110.0
250,0,52.36508,4.86438,2,1.0,2,0,58,4.64,2,1,0,0,0,0,87.0
251,22,52.36438,4.88142,2,1.0,1,0,32,4.66,4,0,0,0,0,0,50.0
252,1,52.35228,4.92039,3,1.0,3,9,218,4.67,2,1,0,0,0,0,72.0
253,1,52.36991,4.88717,2,1.0,3,3,6,4.83,4,0,0,0,0,0,135.0
254,0,52.29125,4.97029,4,3.0,4,0,3,5.0,4,0,0,0,0,0,115.0
255,1,52.29798,4.99763,4,4.0,2,0,15,4.93,4,0,0,0,0,0,175.0
256,0,52.36339,4.93945,2,1.0,3,6,1,5.0,4,0,0,0,0,0,75.0
257,0,52.38343,4.87589,4,2.0,5,8,0,4.643794288736118,4,0,0,0,0,0,240.0
258,1,52.38165,4.8565,4,2.0,1,0,7,4.86,4,0,0,0,0,0,160.0
259,2,52.36951,4.87445,2,1.0,3,0,2,5.0,4,0,0,0,0,0,130.0
260,1,52.38224,4.88347,4,2.0,2,12,315,4.72,2,1,0,0,0,0,85.0
261,9,52.35667,4.8987,2,1.0,7,14,7,4.57,4,0,0,0,0,0,275.0
262,1,52.37992,4.87745,3,2.0,15,0,1,5.0,4,0,0,0,0,0,78.0
263,1,52.36433,4.9373,2,1.0,4,0,7,4.43,4,0,0,0,0,0,150.0
264,0,52.35973,4.87784,6,5.0,7,1,1,5.0,4,0,0,0,0,0,325.0
265,2,52.34497,4.86919,2,1.0,5,4,1,1.0,4,0,0,0,0,0,90.0
266,1,52.38339,4.85811,4,1.0,2,8,24,4.7,4,0,0,0,0,0,186.0
267,1,52.38455,4.85246,2,1.0,5,0,3,4.5,4,0,0,0,0,0,106.0
268,1,52.36434,4.93607,4,3.0,2,0,15,4.73,4,0,0,0,0,0,214.0
269,0,52.34948,4.89065,4,2.0,4,0,45,4.69,4,0,0,0,0,0,190.0
270,3,52.35928,4.89472,2,1.0,3,15,6,5.0,4,0,0,0,0,0,129.0
271,1,52.34482,4.89235,4,2.0,3,0,7,4.71,4,0,0,0,0,0,350.0
272,1,52.38069,4.86826,3,1.0,4,3,127,4.62,4,0,0,0,0,0,91.0
273,7,52.38772,4.8893,2,1.0,1,30,54,4.26,4,0,0,0,0,0,200.0
274,0,52.35218870196775,4.915874053498748,2,1.0,15,6,0,4.643794288736118,4,0,0,0,0,0,150.0
275,1,52.34993,4.87882,4,4.0,3,0,31,4.84,4,0,0,0,0,0,250.0
276,0,52.35951,4.98009,4,2.0,2,13,7,4.43,2,0,0,0,0,0,80.0
277,5,52.36991,4.90248,2,1.0,3,13,3,3.33,4,0,0,0,0,0,153.0
278,2,52.381996,4.888583,2,1.0,1,10,412,4.71,2,1,0,0,0,0,76.0
279,2,52.35779,4.92097,4,3.0,5,0,6,5.0,4,0,0,0,0,0,220.0
280,2,52.37436,4.8801,2,1.0,1,11,62,4.68,2,0,0,0,0,0,152.0
281,1,52.36385,4.93694,2,1.0,3,0,3,5.0,4,0,0,0,0,0,125.0
282,1,52.38617,4.88539,4,1.0,3,11,142,4.85,2,1,0,0,0,0,150.0
283,0,52.38138,4.8711,2,1.0,3,0,9,4.44,4,0,0,0,0,0,120.0
284,2,52.32272700111568,4.936015100991516,8,5.0,1,30,0,4.643794288736118,4,0,0,0,0,0,800.0
285,1,52.36003,4.9345,2,1.0,1,0,13,4.62,4,1,0,0,0,0,140.0
286,0,52.36263,4.89281,4,1.0,1,15,15,4.27,3,0,0,0,0,0,229.0
287,1,52.32558,4.81921,2,1.0,2,20,50,4.72,4,0,0,0,0,0,125.0
288,1,52.36744,4.88839,3,1.0,1,6,24,4.54,2,1,0,0,0,0,148.0
289,1,52.35947,4.91448,2,1.0,3,10,6,4.67,4,1,0,0,0,0,123.0
290,0,52.3929,4.93247,6,3.0,1,9,8,4.63,4,0,0,0,0,0,238.0
291,1,52.39576,4.91687,3,2.0,3,0,3,5.0,4,0,0,0,0,0,200.0
292,3,52.37371,4.85177,1,1.0,2,10,176,4.9,2,1,0,0,0,0,47.0
293,1,52.38727,4.95789,4,3.0,4,0,14,4.92,4,0,0,0,0,0,139.0
294,0,52.32674,4.87778,2,1.0,3,0,0,4.643794288736118,4,0,0,0,0,0,148.0
295,1,52.34593,4.90871,2,1.0,25,0,0,4.643794288736118,4,0,0,0,0,0,140.0
296,0,52.38333,4.90684,16,8.0,2,26,8,4.5,4,0,0,0,0,0,587.0
297,1,52.37168,4.88168,2,1.0,3,0,39,4.69,4,0,0,0,0,0,300.0
